model,batch_size,pred_fixed,pred_F1
claude-sonnet-4-20250514,1.0,4.445800043236479,0.9884082254871577
claude-sonnet-4-20250514,12.55,4.321644758322361,0.986895969238699
claude-sonnet-4-20250514,24.1,4.197489473408242,0.9851893811347078
claude-sonnet-4-20250514,35.650000000000006,4.073334188494125,0.9832643065159984
claude-sonnet-4-20250514,47.2,3.9491789035800084,0.9810938137718436
claude-sonnet-4-20250514,58.75,3.8250236186658912,0.9786479373837924
claude-sonnet-4-20250514,70.30000000000001,3.700868333751773,0.975893414974911
claude-sonnet-4-20250514,81.85000000000001,3.576713048837656,0.9727934241668568
claude-sonnet-4-20250514,93.4,3.4525577639235387,0.9693073271488554
claude-sonnet-4-20250514,104.95,3.328402479009421,0.9653904334159101
claude-sonnet-4-20250514,116.5,3.204247194095304,0.9609937941753344
claude-sonnet-4-20250514,128.05,3.0800919091811862,0.9560640454647441
claude-sonnet-4-20250514,139.60000000000002,2.955936624267069,0.95054332104624
claude-sonnet-4-20250514,151.15,2.831781339352952,0.9443692605575227
claude-sonnet-4-20250514,162.70000000000002,2.7076260544388338,0.9374751430442552
claude-sonnet-4-20250514,174.25,2.583470769524717,0.9297901805890624
claude-sonnet-4-20250514,185.8,2.4593154846105993,0.9212400108656591
claude-sonnet-4-20250514,197.35000000000002,2.335160199696482,0.9117474304803069
claude-sonnet-4-20250514,208.9,2.211004914782365,0.9012334121176281
claude-sonnet-4-20250514,220.45000000000002,2.086849629868247,0.8896184467830968
claude-sonnet-4-20250514,232.0,1.9626943449541294,0.8768242466585585
gemini-2.5-flash,1.0,4.563651474678757,0.989683610624263
gemini-2.5-flash,12.55,4.450775126151149,0.9884650887407133
gemini-2.5-flash,24.1,4.337898777623543,0.9871045163023087
gemini-2.5-flash,35.650000000000006,4.225022429095937,0.985585801075326
gemini-2.5-flash,47.2,4.11214608056833,0.9838911439766279
gemini-2.5-flash,58.75,3.999269732040723,0.9820008869881965
gemini-2.5-flash,70.30000000000001,3.8863933835131177,0.9798933549338661
gemini-2.5-flash,81.85000000000001,3.773517034985511,0.9775446930146267
gemini-2.5-flash,93.4,3.660640686457904,0.9749287027368893
gemini-2.5-flash,104.95,3.5477643379302974,0.9720166797689205
gemini-2.5-flash,116.5,3.434887989402691,0.9687772583444159
gemini-2.5-flash,128.05,3.3220116408750844,0.9651762681161312
gemini-2.5-flash,139.60000000000002,3.2091352923474776,0.9611766108581065
gemini-2.5-flash,151.15,3.096258943819871,0.9567381661240154
gemini-2.5-flash,162.70000000000002,2.983382595292264,0.9518177368781049
gemini-2.5-flash,174.25,2.870506246764658,0.9463690481887326
gemini-2.5-flash,185.8,2.757629898237051,0.9403428142472013
gemini-2.5-flash,197.35000000000002,2.6447535497094443,0.9336868911412002
gemini-2.5-flash,208.9,2.5318772011818385,0.9263465348174761
gemini-2.5-flash,220.45000000000002,2.4190008526542317,0.9182647852969349
gemini-2.5-flash,232.0,2.3061245041266254,0.9093829991735408
ollama_deepseek-r1:14b,1.0,0.7664239558928584,0.6827468163977477
ollama_deepseek-r1:14b,12.55,0.00030725222665883845,0.5000768130560604
ollama_deepseek-r1:14b,24.1,-0.7658094514395407,0.31738630242461674
ollama_deepseek-r1:14b,35.650000000000006,-1.5319261551057402,0.17771204108102853
ollama_deepseek-r1:14b,47.2,-2.2980428587719395,0.09128518036493179
ollama_deepseek-r1:14b,58.75,-3.064159562438139,0.04461008619903448
ollama_deepseek-r1:14b,70.30000000000001,-3.8302762661043395,0.02124257801124128
ollama_deepseek-r1:14b,81.85000000000001,-4.596392969770538,0.00998740397506632
ollama_deepseek-r1:14b,93.4,-5.362509673436738,0.004667237906892337
ollama_deepseek-r1:14b,104.95,-6.128626377102937,0.0021748326104921393
ollama_deepseek-r1:14b,116.5,-6.894743080769136,0.0010120718980285244
ollama_deepseek-r1:14b,128.05,-7.660859784435336,0.0004706807175102037
ollama_deepseek-r1:14b,139.60000000000002,-8.426976488101536,0.00021883438514845447
ollama_deepseek-r1:14b,151.15,-9.193093191767735,0.00010172932725042745
ollama_deepseek-r1:14b,162.70000000000002,-9.959209895433935,4.728784915345998e-05
ollama_deepseek-r1:14b,174.25,-10.725326599100134,2.1980638066879446e-05
ollama_deepseek-r1:14b,185.8,-11.491443302766333,1.0217041261388761e-05
ollama_deepseek-r1:14b,197.35000000000002,-12.257560006432533,4.74905571985834e-06
ollama_deepseek-r1:14b,208.9,-13.023676710098732,2.2074359545796467e-06
ollama_deepseek-r1:14b,220.45000000000002,-13.789793413764933,1.0260496302573553e-06
ollama_deepseek-r1:14b,232.0,-14.555910117431132,4.76923090763589e-07
ollama_deepseek-r1:70b,1.0,2.627861608158441,0.9326333218857107
ollama_deepseek-r1:70b,12.55,1.6391510122575415,0.8374193824093853
ollama_deepseek-r1:70b,24.1,0.6504404163566414,0.6571097026289007
ollama_deepseek-r1:70b,35.650000000000006,-0.33827017954425814,0.41622973223361587
ollama_deepseek-r1:70b,47.2,-1.326980775445158,0.20965921890372188
ollama_deepseek-r1:70b,58.75,-2.315691371346057,0.08983171933033637
ollama_deepseek-r1:70b,70.30000000000001,-3.304401967246958,0.035420484258275015
ollama_deepseek-r1:70b,81.85000000000001,-4.293112563147857,0.013478190625774393
ollama_deepseek-r1:70b,93.4,-5.2818231590487565,0.005057447152192583
ollama_deepseek-r1:70b,104.95,-6.270533754949656,0.001887648909102526
ollama_deepseek-r1:70b,116.5,-7.259244350850555,0.0007031447789170968
ollama_deepseek-r1:70b,128.05,-8.247954946751454,0.0002617248738165591
